naf_code,naf_label,Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Électricité achetée (en GWh),Consommation d’électricité (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
_T,Total,9334.0,9387.0,1521.0,426.8,145304.0,145304.0,3927.0,60.7,1085.0,1057.0,163.0,149.8,1510.0,1514.0,777.0,514.7,,1056.0,402.0,,345411.0,349342.0,256.0,0.7,23727.0,553.0,23.3,108392.0,112507.0,6210.0,57.3
13,Fabrication de textiles,0.0,0.0,0.0,0.0,1812.0,1812.0,60.0,68.7,0.0,0.0,0.0,0.0,6.0,6.0,3.0,608.1,4.0,4.0,2.0,434.9,4844.0,4846.0,3.0,0.6,27.0,1.0,26.4,,1289.0,89.0,
14,Industrie de l'habillement,0.0,0.0,0.0,0.0,153.0,153.0,6.0,37.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.7,1.0,1.0,0.0,426.1,1232.0,1202.0,1.0,0.6,0.0,0.0,0.0,,116.0,9.0,
15,Industrie du cuir et de la chaussure,0.0,0.0,0.0,0.0,109.0,109.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.4,0.0,0.0,0.0,603.8,730.0,,,,34.0,,,146.0,146.0,,
16,"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie",0.0,0.0,0.0,0.0,872.0,872.0,28.0,32.6,0.0,0.0,0.0,0.0,,,3.0,,4.0,4.0,2.0,422.4,14125.0,14317.0,8.0,0.6,0.0,0.0,0.0,1778.0,1786.0,121.0,67.8
17,Industrie du papier et du carton,0.0,0.0,4.0,0.0,10705.0,10705.0,273.0,25.5,0.0,0.0,0.0,0.0,10.0,10.0,,,,,31.0,,7614.0,7856.0,5.0,0.6,5361.0,112.0,20.8,9202.0,10245.0,493.0,53.5
18,Imprimerie et reproduction d'enregistrements,0.0,0.0,0.0,0.0,1009.0,1009.0,32.0,69.6,0.0,0.0,0.0,0.0,2.0,,1.0,735.4,,0.0,0.0,,3680.0,3967.0,2.0,0.5,26.0,1.0,31.9,,1445.0,98.0,
20,Industrie chimique,490.0,497.0,,,43722.0,43722.0,1070.0,58.5,,,,,1264.0,1270.0,612.0,484.2,,341.0,122.0,,18078.0,18857.0,10.0,0.6,10608.0,264.0,24.8,17258.0,18128.0,885.0,51.3
21,Industrie pharmaceutique,0.0,0.0,0.0,0.0,2504.0,2504.0,75.0,96.8,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0,0.0,420.1,2635.0,,1.0,0.5,287.0,10.0,36.3,2229.0,2233.0,139.0,62.3
22,Fabrication de produits en caoutchouc et en plastique,0.0,0.0,0.0,0.0,3158.0,3158.0,104.0,69.4,0.0,0.0,0.0,0.0,12.0,12.0,,,14.0,14.0,,,13346.0,13812.0,7.0,0.6,1283.0,35.0,26.9,7051.0,7067.0,459.0,65.2
23,Fabrication d'autres produits minéraux non métalliques,563.0,659.0,77.0,370.4,17527.0,17527.0,460.0,26.2,847.0,834.0,78.0,92.3,20.0,20.0,14.0,675.8,309.0,309.0,116.0,374.2,,,83.0,,,2.0,,,7861.0,464.0,
24,Métallurgie,7915.0,7393.0,1282.0,434.2,13523.0,13523.0,360.0,26.8,190.0,175.0,59.0,312.0,18.0,,12.0,659.1,14.0,16.0,6.0,414.7,,,17.0,,1025.0,24.0,23.3,21058.0,21842.0,908.0,43.1
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",,,,,4740.0,4740.0,159.0,71.4,0.0,0.0,0.0,0.0,31.0,30.0,21.0,669.6,2.0,3.0,1.0,465.3,18312.0,18209.0,11.0,0.6,15.0,1.0,42.9,5049.0,5053.0,359.0,71.0
26,"Fabrication de produits informatiques, électroniques et optiques",0.0,0.0,0.0,0.0,645.0,645.0,23.0,80.69999999999999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,721.6,0.0,0.0,0.0,428.6,4123.0,4489.0,2.0,0.6,8.0,0.0,39.1,2306.0,2306.0,138.0,59.7
27,Fabrication d'équipements électriques,0.0,0.0,10.0,0.0,1788.0,1788.0,0.0,41.2,,,,,5.0,,4.0,681.3,,,1.0,,6253.0,6278.0,3.0,0.5,21.0,1.0,33.4,,2154.0,145.0,
28,Fabrication de machines et équipements n.c.a.,0.0,0.0,0.0,0.0,2298.0,2298.0,86.0,72.3,0.0,0.0,0.0,0.0,12.0,,9.0,737.8,,,0.0,,14880.0,15353.0,10.0,0.7,,,,,2181.0,,
29,Industrie automobile,7.0,7.0,2.0,319.0,4814.0,4814.0,139.0,75.0,0.0,0.0,0.0,0.0,9.0,,6.0,697.9,0.0,,0.0,469.3,4553.0,4513.0,3.0,0.6,,14.0,22.6,,4839.0,308.0,
30,Fabrication d'autres matériels de transport,0.0,0.0,0.0,0.0,1976.0,1976.0,67.0,34.1,0.0,0.0,0.0,0.0,3.0,3.0,,,,,,,3010.0,3083.0,2.0,0.6,100.0,3.0,34.7,,1802.0,115.0,
31,Fabrication de meubles,0.0,0.0,0.0,0.0,478.0,478.0,17.0,36.6,0.0,0.0,0.0,0.0,,,3.0,,,,0.0,,5246.0,5196.0,3.0,0.5,0.0,0.0,0.0,573.0,574.0,45.0,78.5
32,Autres industries manufacturières,0.0,0.0,0.0,0.0,362.0,362.0,13.0,73.7,0.0,0.0,0.0,0.0,2.0,,1.0,738.3,0.0,,0.0,0.0,1432.0,1491.0,1.0,0.7,,,,,598.0,,
33,Réparation et installation de machines et d'équipements,0.0,0.0,0.0,0.0,359.0,359.0,14.0,90.8,0.0,0.0,0.0,0.0,2.0,2.0,,,,1.0,,,6277.0,6488.0,4.0,0.6,,,,,363.0,,
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",0.0,0.0,0.0,0.0,774.0,774.0,25.0,31.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,99969.0,100223.0,54.0,0.6,0.0,0.0,0.0,0.0,997.0,0.0,0.0
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",536.0,560.0,62.0,452.9,31948.0,31948.0,850.0,89.80000000000001,0.0,0.0,0.0,0.0,91.0,92.0,59.0,1303.3,269.0,270.0,108.0,774.2,47897.0,48216.0,26.0,1.0,3738.0,80.0,46.1,18307.0,19483.0,1128.0,125.3
38,"Collecte, traitement et élimination des déchets ; récupération",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
