"REG_T2 : Achats et consommation en unité propre, valeur d'achat et prix moyens des produits énergétiques selon la région",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type d'énergie,Total des énergies,,,,Houille,,,,Lignite - charbon pauvre,,,,Coke de houille,,,,Gaz de réseau,,,,Coke de pétrole,,,,Butane propane,,,,Fioul lourd,,,,Fioul domestique,,,,Bois,,,,Vapeur,,,,Electricité,,,
Indicateurs,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen
Région,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toutes régions,so,so,14304,so,9478,9315,1054,111,s,s,s,s,625,635,146,233,136991,136991,3908,29,864,878,123,143,2334,2329,913,391,s,s,s,s,310325,294898,184,0.59,2183,3574,105,48,23671,23671,575,24,107783,111718,7066,66
Île-de-France,so,so,596,so,s,s,s,s,0,0,0,so,2,2,0,242,7452,7452,199,27,15,16,3,210,5,5,4,781,s,s,s,s,12254,11158,7,0.59,s,s,s,s,238,238,8,35,5164,5179,368,71
Centre-Val de Loire,so,so,471,so,33,32,4,125,0,0,0,so,1,1,0,263,5130,5130,158,31,47,47,6,128,8,8,6,752,4,4,2,440,9351,9122,6,0.6,43,159,3,58,94,94,1,14,s,3794,286,77
Bourgogne-Franche-Comté,so,so,676,so,141,141,12,88,0,0,0,so,10,10,3,269,5711,5711,182,32,0,0,0,so,s,s,s,s,s,s,s,s,18810,17768,11,0.6,54,296,2,31,s,s,s,s,s,s,s,s
Normandie,so,so,1444,so,s,s,s,s,0,0,0,so,s,s,s,s,s,s,s,s,60,70,6,93,s,s,s,s,87,86,32,367,14421,13841,9,0.61,454,522,24,52,2851,2851,70,25,8205,8645,545,66
Hauts-de-France,so,so,2530,so,s,s,s,s,181,184,20,110,184,201,36,195,s,s,s,s,172,165,38,221,s,s,s,s,60,61,22,361,35391,33458,20,0.56,105,124,5,46,2413,2413,61,25,19445,20811,1098,56
Grand Est,so,so,2336,so,1742,1965,238,137,177,175,17,99,262,261,60,228,28500,28500,772,27,107,113,14,132,18,17,13,693,42,48,18,432,51018,48710,30,0.59,522,917,27,51,2408,2408,62,26,16579,17171,1085,65
Pays de la Loire,so,so,694,so,s,s,s,s,s,s,s,s,12,11,4,305,5621,5621,182,32,68,67,7,97,17,17,12,667,s,s,s,s,18710,17498,11,0.58,42,128,2,47,872,872,20,23,5782,5824,450,78
Bretagne,so,so,561,so,s,s,s,s,0,0,0,so,4,4,0,94,4879,4879,167,34,0,0,0,so,s,s,s,s,s,s,s,s,15443,14781,9,0.57,s,s,s,s,689,689,16,23,4279,4292,341,80
Nouvelle-Aquitaine,so,so,1012,so,197,199,17,86,0,0,0,so,s,s,s,s,7262,7262,224,31,63,64,6,93,s,s,s,s,143,136,45,314,34337,33548,20,0.6,s,s,s,s,4984,4984,106,21,7748,8021,558,72
Occitanie,so,so,512,so,125,123,17,140,0,0,0,so,s,s,s,s,4383,4383,139,32,64,63,7,103,s,s,s,s,17,16,7,437,19677,19187,12,0.61,s,s,s,s,s,s,s,s,s,s,s,s
Auvergne-Rhône-Alpes,so,so,1914,so,202,203,33,165,s,s,s,s,47,48,15,326,16447,16447,513,31,125,128,25,201,30,29,18,612,s,s,s,s,37673,33661,22,0.59,259,290,10,37,3752,3752,101,27,18560,18647,1155,62
Provence-Alpes-Côte d'Azur et Corse,so,so,1478,so,s,s,s,s,0,0,0,so,80,72,21,259,s,s,s,s,143,146,12,88,1080,1080,413,383,94,93,27,282,23295,22707,13,0.56,s,s,s,s,2572,2572,68,26,s,8409,409,53
Dom,so,so,80,so,0,0,0,so,0,0,0,so,0,0,0,so,1,1,0,38,0,0,0,so,1,1,1,1035,3,3,1,573,19946,19459,14,0.68,s,s,s,s,922,922,11,12,506,512,52,103
"Note : la consommation d'énergie peut différer de la quantité achetée dans le cas d'énergies stockables (fioul par exemple), ou dans le cas de l'électricité (autoproduction consommée) et du bois (une partie non achetée). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Enquêtes annuelles sur les consommations d'énergie dans l'industrie 2015 (2 vagues d’interrogation).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
