REG,Nombre d'établissements,"Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)",Gaz naturel et autres gaz,Coke de pétrole,Butane propane,Fioul lourd,Fioul domestique,Total combustibles usuels,Autres produits pétroliers,Liqueurs noires,Bois et sous-produit du bois,Hydrogene,"Combustibles spéciaux renouvelables","Combustibles spéciaux non renouvelables",Total autres combustibles,Achats de vapeur,Electricité,Total brut,Vapeur vendue,"Consommation pour production d'électricité",Total net
Toutes régions,19892,4554.2,9947.7,590.3,2231.8,145.9,247.4,17707.8,1505,s,859.6,218.9,s,307,3815.2,1629.6,8772.6,32153.5,406,388,31369.7
Île-de-France,1654,16.6,554.7,1,7.5,1.8,9.9,591.2,0,0,s,s,1.8,s,5.1,26.3,501.1,1124.2,s,s,1115.8
Centre-Val de Loire,1030,24.7,399.8,25.2,5.3,2.1,8.7,465,s,0,s,0.2,8.9,s,s,s,s,792.1,s,s,746.7
Bourgogne-Franche-Comté,1255,15.4,431,0,15.4,0.5,13.7,475.8,s,0,27.2,s,33.9,s,72.8,108.4,474,1158.2,s,s,1157.5
Normandie,1230,14.4,s,s,s,10,21.8,2050.8,713.9,0,90.7,1,42.5,3.3,850.4,257.3,635.5,3796.2,s,s,3783.1
Hauts-de-France,1898,s,1878.8,130.3,s,12.6,31.5,4394.2,355.9,0,s,s,s,78.3,s,s,s,6709.3,s,s,6587.7
Grand Est,2031,538.9,1998.3,116.7,18.5,4.7,37.2,2712.7,s,0,261.4,s,141.5,76.8,513,208,1269,4762.3,s,s,4562.9
Pays de la Loire,1766,10.9,353.3,s,19,s,18.7,435.8,0.1,0,33,0.3,s,s,80.7,54.4,454.9,1026.7,s,s,1025.7
Bretagne,1155,s,335.2,0,26.9,s,10,388.3,0,s,1.2,s,s,0.5,s,s,s,834.6,s,s,828.6
Nouvelle-Aquitaine,1875,59.1,582.5,s,s,41.1,23,744.5,10.5,450,217.8,7,27.6,15.2,721.1,317,599.5,2389.5,s,s,2253.6
Occitanie,1342,s,306.2,70.9,11.7,s,15.2,432,0,s,62.7,0,11.4,s,270.4,s,s,1105.5,s,s,1086.2
Auvergne-Rhône-Alpes,3533,120.8,963.1,121,32.1,27.2,28.8,1291,0.4,0,70.7,16.7,25.7,44.9,141.7,186,1407.4,3044.8,s,s,2999.7
Provence-Alpes-Côte d'Azur et Corse,848,s,s,56.2,1055,s,13.2,3707.4,385.1,s,s,101.2,s,10,576.3,194.8,693,5272.9,s,s,5085.5
Dom,276,0,0.3,0,0.8,2.8,15.5,19.1,s,0,s,0,s,0,32.5,33.9,51.4,137.2,s,s,136.7